feature,roc_auc_mean,roc_auc_std,neg_brier_score_mean,neg_brier_score_std
angle_distance_interaction,0.043209124445798254,0.015649587246454467,0.0015457373454617555,0.0005363641610843606
gk_distance_to_shot,0.027262285511219442,0.0105339747719441,0.0011764948210834763,0.000690701631094298
distance_to_nearest_defender,0.0237830828848953,0.007190722067150573,0.000564846872715144,0.0007003997097837139
shot_angle,0.015306545503773684,0.009304618985517692,-1.4305556724272805e-05,0.000672125752831045
distance_x,0.00768055978610353,0.003677864632944676,0.0006559701286872624,0.00027598516375067466
n_defenders_in_cone,0.007478762649338411,0.005638935040425841,0.00038553918445745626,0.0005101390615117876
gk_distance_to_goal,0.006806105526787875,0.006272921847956856,-0.0008502370870026345,0.0004385270547170469
inverse_distance,0.00477480793312351,0.002860152436414914,1.5965514603435983e-06,8.192037423402616e-05
body_part,0.004100247063999774,0.0023324881969465808,0.0002642052889435219,0.000245905940114537
goal_diff,0.0038887196669712743,0.0030151532763269895,-1.959755020926393e-05,0.0002437931156836314
is_first_time,0.0034119369140691693,0.0014051658472208149,0.0003294161626479962,0.00030241485893719745
play_pattern,0.0031678342978983033,0.0022233304898846566,8.773750723001586e-05,0.00023946197206288372
n_defenders_within_3m,0.0031504890513419813,0.0009532477863968196,0.00010309487329990749,0.00014231680439872016
under_pressure,0.0008664162182286439,0.000467167439035968,0.00015583830281667917,0.00010629666349119154
distance_to_goal,0.0007050208142958924,0.0018307630958144623,0.00023914873411135656,8.405573568425018e-05
is_open_play,0.0,0.0,0.0,0.0
log_distance,0.0,0.0,0.0,0.0
shot_type,0.0,0.0,0.0,0.0
shot_in_box,0.0,0.0,0.0,0.0
assisted,-0.0007043862321047311,0.0007550070349474676,-4.159651942264031e-05,3.536519511009882e-05
game_state,-0.001333468710867375,0.0006222467322246322,-0.00018818661755463096,0.00011793431217533144
distance_y,-0.006443970623075068,0.0035669890989445258,-0.0012044716224137997,0.00037353451406952037
minute,-0.01459983247030151,0.005062348418307247,-0.0005814840139488915,0.000579980264529706
