player,shots,goals,xg_total,goals_minus_xg,std_error,z_score,p_value,ci_low,ci_high,significant,p_value_fdr_bh,significant_fdr
Cody Mathès Gakpo,18,6,1.358226502052614,4.641773497947386,1.0902774969923013,4.257423922581577,2.0679599822770456e-05,2.5048688706879987,6.778678125206774,True,0.002005921182808734,True
Xherdan Shaqiri,29,6,2.2906849509738088,3.7093150490261912,1.3610754380525907,2.7252824827501345,0.006424649363057755,1.0416562102010363,6.376973887851346,True,0.20773032940553407,False
Kylian Mbappé Lottin,74,10,7.0281976464614475,2.9718023535385525,2.3038677194521267,1.2899188301684545,0.19707884210529203,-1.5436954017320454,7.48730010880915,False,0.8087280695606812,False
Denis Cheryshev,13,4,1.047035015991335,2.952964984008665,0.9484071558187045,3.1136047064718135,0.0018481691913427856,1.094121115923937,4.811808852093392,True,0.0896362057801251,False
Harry Kane,53,10,7.180362359060678,2.8196376409393222,2.2411835264725624,1.2581020731386505,0.20835484368203527,-1.573001353691371,7.212276635570015,False,0.8087280695606812,False
Bukayo Saka,15,4,1.3198111187254145,2.6801888812745855,1.0477538330705787,2.5580330003851612,0.010526610221932797,0.6266291037924594,4.733748658756712,True,0.25527029788187033,False
Patrik Schick,22,5,2.367637789780476,2.632362210219524,1.3854648981069315,1.8999847732095743,0.0574351178974295,-0.08309909191451759,5.347823512353566,False,0.537751101228605,False
Emil Peter Forsberg,28,4,1.691858350523602,2.308141649476398,1.2319120621277142,1.8736253344981937,0.06098208364448099,-0.10636162441439145,4.722644923367188,False,0.537751101228605,False
Ivan Perišić,51,6,3.7638296240635025,2.2361703759364975,1.7913399572580808,1.248322724492395,0.211912895467548,-1.2747914243568608,5.747132176229856,False,0.8087280695606812,False
Álvaro Borja Morata Martín,39,7,4.802321180790539,2.197678819209461,1.96735160329256,1.117074759555651,0.26396236153453967,-1.6582594681710887,6.053617106590011,False,0.8087280695606812,False
Ferrán Torres García,16,4,1.9665093505327467,2.0334906494672533,1.2109038000024852,1.6793164324557244,0.09309039011723197,-0.3398371872803101,4.406818486214817,False,0.6945975262593463,False
