model,metric,estimate,ci_low,ci_high,std_error,n_boot,confidence
logistic_regression,roc_auc,0.786925564473128,0.7611879296631111,0.8128759097543816,0.01298322568653422,2000,0.95
logistic_regression,pr_auc,0.3525017331381502,0.3090770133028345,0.40211557605801346,0.02416912371080199,2000,0.95
logistic_regression,brier_score,0.17541278647034123,0.16958352289550088,0.18106767326751835,0.0029752772181741325,2000,0.95
logistic_regression,log_loss,0.5337041630519256,0.5188596645012109,0.5480490228867924,0.007532066670894164,2000,0.95
logistic_splines,roc_auc,0.7827528188328747,0.7563806292491353,0.8082582768857203,0.013121558493590244,2000,0.95
logistic_splines,pr_auc,0.35486541126241905,0.30772212455659603,0.406742873319685,0.024509672176028476,2000,0.95
logistic_splines,brier_score,0.17420016472054048,0.1682408758471568,0.18025618081922462,0.003056216207157149,2000,0.95
logistic_splines,log_loss,0.5279158810630366,0.5131900636586398,0.5427062374138245,0.0075939691053279875,2000,0.95
random_forest,roc_auc,0.7722832718998491,0.7462302755661492,0.7984201683061202,0.013517920642513582,2000,0.95
random_forest,pr_auc,0.33424814122043817,0.29163676781504094,0.3849143514445551,0.02373099676042574,2000,0.95
random_forest,brier_score,0.14785616156798667,0.14270953393425845,0.15311594817347823,0.0026056377385319553,2000,0.95
random_forest,log_loss,0.46286598227028347,0.4507523437911256,0.47509063800908874,0.0061143467282863415,2000,0.95
gradient_boosting,roc_auc,0.7624367477957114,0.7346603815689514,0.7891319143852779,0.013758182560868887,2000,0.95
gradient_boosting,pr_auc,0.3266509696276089,0.284532827168913,0.3772618707603924,0.023779994403642816,2000,0.95
gradient_boosting,brier_score,0.07594788922274043,0.06930626875576372,0.08219959666552318,0.003293973675610966,2000,0.95
gradient_boosting,log_loss,0.27185165266415473,0.2509068277180767,0.29221981319473794,0.01068842941443612,2000,0.95
hist_gradient_boosting,roc_auc,0.7557367401963402,0.7295159186303314,0.7832311149717854,0.014007610047027226,2000,0.95
hist_gradient_boosting,pr_auc,0.315838236323187,0.2751455234773114,0.3655723761352729,0.0231854524222032,2000,0.95
hist_gradient_boosting,brier_score,0.07549091952142756,0.06901306583803862,0.0819034448271856,0.0032854565008952207,2000,0.95
hist_gradient_boosting,log_loss,0.27161770404312713,0.25063554851477876,0.2921253707652862,0.010602483133217853,2000,0.95
