player,shots,xg_total,goals,goals_minus_xg,xg_per_shot,conversion
Harry Kane,53,7.180362359060677,10,2.819637640939323,0.13547853507661656,0.18867924528301888
Romelu Lukaku Menama,42,7.141922757818167,7,-0.14192275781816743,0.17004577994805162,0.16666666666666666
Kylian Mbappé Lottin,74,7.028197646461448,10,2.9718023535385516,0.09497564387110065,0.13513513513513514
Cristiano Ronaldo dos Santos Aveiro,64,6.241119742354266,5,-1.2411197423542664,0.09751749597428541,0.078125
Neymar da Silva Santos Junior,38,5.504411500404454,3,-2.504411500404454,0.14485293422116985,0.07894736842105263
Kai Havertz,33,5.146735372595973,4,-1.1467353725959732,0.15596167795745375,0.12121212121212122
Aleksandar Mitrović,36,5.028184424352875,3,-2.028184424352875,0.13967178956535764,0.08333333333333333
Álvaro Borja Morata Martín,39,4.80232118079054,7,2.19767881920946,0.12313644053309077,0.1794871794871795
Memphis Depay,39,4.792233194563458,3,-1.7922331945634582,0.12287777421957585,0.07692307692307693
Robert Lewandowski,35,4.127642938878088,4,-0.12764293887808797,0.1179326553965168,0.11428571428571428
Daniel Olmo Carvajal,51,4.125569296244561,4,-0.12556929624456092,0.08089351561263845,0.0784313725490196
Olivier Giroud,36,4.011021165528365,4,-0.01102116552836474,0.11141725459801013,0.1111111111111111
Breel-Donald Embolo,29,3.8144703445547474,5,1.1855296554452526,0.13153346015706024,0.1724137931034483
Ivan Perišić,51,3.763829624063503,6,2.236170375936497,0.07380058086399026,0.11764705882352941
Antoine Griezmann,44,3.695513082648048,2,-1.695513082648048,0.08398893369654654,0.045454545454545456
Raheem Sterling,26,3.593855923385256,4,0.40614407661474416,0.13822522782250984,0.15384615384615385
Niclas Füllkrug,17,3.159788921330988,4,0.8402110786690118,0.18586993654888165,0.23529411764705882
Marcus Berg,17,2.8733901746256714,0,-2.8733901746256714,0.1690229514485689,0.0
Eden Hazard,23,2.871136059394785,2,-0.871136059394785,0.12483200258238196,0.08695652173913043
Lionel Andrés Messi Cuccittini,44,2.795156131830974,4,1.2048438681690259,0.06352627572343122,0.09090909090909091
Andrej Kramarić,29,2.781726483305092,4,1.2182735166949081,0.09592160287258937,0.13793103448275862
Michy Batshuayi Tunga,14,2.6836660999350404,2,-0.6836660999350404,0.19169043570964575,0.14285714285714285
Edinson Roberto Cavani Gómez,19,2.633124085101042,3,0.3668759148989582,0.13858547816321273,0.15789473684210525
Patrik Schick,22,2.367637789780477,5,2.632362210219523,0.10761989953547622,0.22727272727272727
Christian Dannemann Eriksen,29,2.3337129548866202,2,-0.33371295488662023,0.08047286051333173,0.06896551724137931
Denzel Dumfries,12,2.295348016985252,3,0.704651983014748,0.19127900141543766,0.25
Xherdan Shaqiri,29,2.2906849509738083,6,3.7093150490261917,0.07898913624047615,0.20689655172413793
Lautaro Javier Martínez,14,2.2826754070663458,0,-2.2826754070663458,0.16304824336188184,0.0
Jamal Musiala,21,2.1578357500022425,3,0.8421642499977575,0.10275408333344012,0.14285714285714285
Martin Braithwaite Christensen,21,2.069606506557579,1,-1.0696065065575788,0.09855269078845613,0.047619047619047616
Marko Arnautović,11,2.024351689630522,1,-1.0243516896305218,0.18403197178459288,0.09090909090909091
Marcus Rashford,16,2.0010252824444628,3,0.9989747175555372,0.12506408015277892,0.1875
John Stones,16,1.9987773585348638,2,0.0012226414651361761,0.12492358490842899,0.125
Kevin De Bruyne,35,1.9879464469091679,3,1.0120535530908321,0.05679846991169051,0.08571428571428572
Ferrán Torres García,16,1.9665093505327467,4,2.0334906494672533,0.12290683440829667,0.25
Diogo José Teixeira da Silva,10,1.9548318884147,1,-0.9548318884147,0.19548318884147,0.1
Wahbi Khazri,17,1.8865776447196636,3,1.1134223552803364,0.11097515557174492,0.17647058823529413
Harry Maguire,25,1.8776482632868556,2,0.12235173671314437,0.07510593053147423,0.08
Gabriel Fernando de Jesus,12,1.8734616191330222,0,-1.8734616191330222,0.15612180159441852,0.0
Diego da Silva Costa,11,1.801466118899379,3,1.198533881100621,0.1637696471726708,0.2727272727272727
Mario Mandžukić,12,1.7793901472228286,3,1.2206098527771714,0.14828251226856906,0.25
Julián Álvarez,11,1.7313064429012077,4,2.2686935570987923,0.1573914948092007,0.36363636363636365
Gerard Moreno Balaguero,15,1.7060076011565033,0,-1.7060076011565033,0.11373384007710022,0.0
Philippe Coutinho Correia,23,1.7039258963130617,2,0.2960741036869383,0.07408373462230702,0.08695652173913043
Emil Peter Forsberg,28,1.6918583505236016,4,2.3081416494763984,0.060423512518700054,0.14285714285714285
Andriy Yarmolenko,14,1.6900830925585333,2,0.3099169074414667,0.12072022089703809,0.14285714285714285
Thomas Müller,14,1.661092465565741,0,-1.661092465565741,0.11864946182612436,0.0
İlkay Gündoğan,14,1.6531610099402079,1,-0.6531610099402079,0.11808292928144341,0.07142857142857142
Andraž Šporar,8,1.651624838151096,0,-1.651624838151096,0.206453104768887,0.0
Georginio Wijnaldum,10,1.651042716197381,3,1.348957283802619,0.16510427161973812,0.3
Christoph Baumgartner,11,1.6160948735938003,2,0.38390512640619967,0.14691771578125457,0.18181818181818182
Bruno Miguel Borges Fernandes,24,1.6153503660738597,2,0.38464963392614027,0.0673062652530775,0.08333333333333333
Luis Alberto Suárez Díaz,16,1.602233481584217,2,0.39776651841578303,0.10013959259901356,0.125
Yussuf Yurary Poulsen,9,1.563269470603261,3,1.436730529396739,0.17369660784480678,0.3333333333333333
Manuel Obafemi Akanji,11,1.5604207675709074,1,-0.5604207675709074,0.14185643341553703,0.09090909090909091
Ante Rebić,20,1.5452360072822764,1,-0.5452360072822764,0.07726180036411381,0.05
Roberto Firmino Barbosa de Oliveira,6,1.5444385470303867,1,-0.5444385470303867,0.25740642450506446,0.16666666666666666
Piotr Zieliński,22,1.5307154607544957,1,-0.5307154607544957,0.06957797548884072,0.045454545454545456
Mikel Oyarzabal Ugarte,15,1.4812062092615914,2,0.5187937907384086,0.09874708061743943,0.13333333333333333
Ciro Immobile,18,1.4771329703056695,2,0.5228670296943305,0.08206294279475941,0.1111111111111111
Fakhreddine Ben Youssef,7,1.4738931449350963,1,-0.47389314493509627,0.21055616356215662,0.14285714285714285
Randal Kolo Muani,7,1.473539921124582,2,0.5264600788754179,0.21050570301779745,0.2857142857142857
Donyell Malen,9,1.4728567298177415,2,0.5271432701822585,0.16365074775752683,0.2222222222222222
Lamine Yamal Nasraoui Ebana,18,1.4717321481209409,1,-0.4717321481209409,0.08176289711783005,0.05555555555555555
Jude Bellingham,11,1.4334958511889913,3,1.5665041488110087,0.13031780465354467,0.2727272727272727
Ivan Rakitić,15,1.425756758090203,1,-0.4257567580902031,0.09505045053934687,0.06666666666666667
Roman Yaremchuk,17,1.424732603212085,3,1.575267396787915,0.08380780018894618,0.17647058823529413
Heung-Min Son,23,1.4240407211484434,2,0.5759592788515566,0.0619148139629758,0.08695652173913043
Sardar Azmoun,10,1.4016910535641387,0,-1.4016910535641387,0.14016910535641386,0.0
Richarlison de Andrade,8,1.3913777047211318,3,1.6086222952788682,0.17392221309014147,0.375
Gonçalo Matias Ramos,8,1.3898065287144898,3,1.6101934712855102,0.17372581608931123,0.375
Wout Weghorst,11,1.3871401247373674,4,2.6128598752626324,0.12610364770339702,0.36363636363636365
Artem Dzyuba,11,1.3808661003689946,2,0.6191338996310054,0.12553328185172677,0.18181818181818182
Fabián Ruiz Peña,18,1.3805453226469886,2,0.6194546773530114,0.07669696236927714,0.1111111111111111
Ante Budimir,7,1.3773435122854787,0,-1.3773435122854787,0.19676335889792554,0.0
Kasper Dolberg,11,1.3752022661337318,3,1.6247977338662682,0.12501838783033925,0.2727272727272727
Ismaïla Sarr,12,1.373481528780875,0,-1.373481528780875,0.11445679406507292,0.0
Michael Gregoritsch,7,1.3677011122300864,2,0.6322988877699136,0.19538587317572662,0.2857142857142857
Marcel Sabitzer,23,1.3666339871083821,1,-0.36663398710838213,0.059418869004712264,0.043478260869565216
Kieffer Roberto Francisco Moore,12,1.3645860288539182,1,-0.3645860288539182,0.11371550240449319,0.08333333333333333
Cody Mathès Gakpo,18,1.358226502052614,6,4.641773497947386,0.0754570278918119,0.3333333333333333
Mats Hummels,11,1.3553096571164995,0,-1.3553096571164995,0.12320996882877268,0.0
Mateo Kovačić,17,1.3468842113757695,0,-1.3468842113757695,0.07922848302210408,0.0
Karim Benzema,10,1.3319107663453154,3,1.6680892336546846,0.13319107663453153,0.3
Bukayo Saka,15,1.3198111187254145,4,2.6801888812745855,0.08798740791502763,0.26666666666666666
M''Baye Babacar Niang,8,1.312569560528628,1,-0.31256956052862805,0.1640711950660785,0.125
Serge Gnabry,16,1.2956575247062814,1,-0.29565752470628137,0.08097859529414259,0.0625
Bernardo Mota Veiga de Carvalho e Silva,10,1.2603703981586412,1,-0.26037039815864116,0.12603703981586412,0.1
Leon Goretzka,11,1.2578602195396669,1,-0.25786021953966687,0.11435092904906062,0.09090909090909091
Adrien Rabiot,15,1.255207318356107,1,-0.255207318356107,0.08368048789040713,0.06666666666666667
Yannick Ferreira Carrasco,17,1.2491831434526661,0,-1.2491831434526661,0.0734813613795686,0.0
José Paulo Bezzera Maciel Júnior,6,1.242956908311312,1,-0.2429569083113119,0.20715948471855197,0.16666666666666666
Andreas Christensen,9,1.1913576957232195,2,0.8086423042767805,0.13237307730257994,0.2222222222222222
Jesse Lingard,16,1.189003068808579,1,-0.1890030688085791,0.07431269180053619,0.0625
Domenico Berardi,14,1.1871977117596286,0,-1.1871977117596286,0.08479983655425918,0.0
Pablo Sarabia García,9,1.185185067184421,2,0.8148149328155789,0.1316872296871579,0.2222222222222222
Philip Foden,8,1.1827538494453478,1,-0.18275384944534778,0.14784423118066847,0.125
Radamel Falcao García Zárate,8,1.149827775864928,1,-0.14982777586492801,0.143728471983116,0.125
Andrea Belotti,9,1.1364164380598458,0,-1.1364164380598458,0.12626849311776064,0.0
Ousmane Dembélé,20,1.1336294975517367,0,-1.1336294975517367,0.05668147487758683,0.0
José Paolo Guerrero Gonzáles,9,1.1233493211935897,1,-0.12334932119358966,0.12481659124373218,0.1111111111111111
Mario Gómez García,6,1.1228873280084009,0,-1.1228873280084009,0.18714788800140014,0.0
Marcus Thuram,13,1.1200164880721117,0,-1.1200164880721117,0.08615511446708551,0.0
Federico Chiesa,24,1.1195584071663267,2,0.8804415928336733,0.04664826696526361,0.08333333333333333
Haris Seferović,15,1.118450275177786,3,1.881549724822214,0.07456335167851907,0.2
Dan Ndoye,14,1.112063485226659,1,-0.1120634852266591,0.07943310608761851,0.07142857142857142
Roland Sallai,16,1.1063186645141887,0,-1.1063186645141887,0.0691449165321368,0.0
Aaron Ramsey,8,1.10557788428599,1,-0.10557788428599002,0.13819723553574875,0.125
Blerim Džemaili,9,1.1015128749944498,1,-0.10151287499444983,0.12239031944382776,0.1111111111111111
Burak Yılmaz,10,1.0995618972311711,0,-1.0995618972311711,0.10995618972311712,0.0
Viktor Claesson,8,1.0950317619653,1,-0.09503176196530005,0.1368789702456625,0.125
Yūya Ōsako,7,1.087284496479938,1,-0.08728449647993797,0.15532635663999114,0.14285714285714285
Luka Modrić,21,1.0864357050008944,3,1.9135642949991056,0.05173503357147116,0.14285714285714285
José Martín Cáceres Silva,7,1.0713252992469335,0,-1.0713252992469335,0.1530464713209905,0.0
Andreas Evald Cornelius,10,1.0706189317155264,0,-1.0706189317155264,0.10706189317155264,0.0
Joakim Mæhle,13,1.0622084468837105,2,0.9377915531162895,0.08170834206797774,0.15384615384615385
Ángel Fabián Di María Hernández,11,1.0525240095256894,2,0.9474759904743106,0.09568400086597176,0.18181818181818182
Youssef En-Nesyri,12,1.049675841474337,3,1.950324158525663,0.08747298678952808,0.25
Nicolás Alejandro Tagliafico,7,1.0480955716245413,0,-1.0480955716245413,0.1497279388035059,0.0
Nicholas Williams Arthuer,12,1.0478984906860198,2,0.9521015093139802,0.08732487422383499,0.16666666666666666
Denis Cheryshev,13,1.047035015991335,4,2.952964984008665,0.08054115507625655,0.3076923076923077
Rasmus Winther Højlund,6,1.0458677194784092,0,-1.0458677194784092,0.17431128657973485,0.0
Tomáš Souček,13,1.0380006504859294,1,-0.03800065048592938,0.07984620388353303,0.07692307692307693
David Josué Jiménez Silva,10,1.0368850330443427,0,-1.0368850330443427,0.10368850330443427,0.0
Thomas Meunier,13,1.0362095010241823,2,0.9637904989758177,0.07970842315570634,0.15384615384615385
Gerard Piqué Bernabéu,8,1.032282215915682,0,-1.032282215915682,0.12903527698946024,0.0
Ruben Vargas,9,1.0261373052014637,1,-0.026137305201463734,0.11401525613349597,0.1111111111111111
Marco Asensio Willemsen,13,1.0189360962226657,1,-0.018936096222665677,0.07837969970943583,0.07692307692307693
Giorgian Daniel De Arrascaeta Benedetti,4,1.0175913810556696,2,0.9824086189443304,0.2543978452639174,0.5
Hirving Rodrigo Lozano Bahena,18,1.0161351119826976,1,-0.01613511198269757,0.05645195066570542,0.05555555555555555
Christian Pulisic,9,1.013841070083284,1,-0.013841070083284057,0.11264900778703156,0.1111111111111111
Robin Gosens,6,1.0088966743017505,1,-0.008896674301750451,0.16814944571695842,0.16666666666666666
Marcelo Brozović,12,1.0016986647762796,0,-1.0016986647762796,0.08347488873135663,0.0
Salem Mohammed Al Dawsari,13,0.9967397285982157,3,2.003260271401784,0.07667228681524736,0.23076923076923078
Thiago Emiliano da Silva,8,0.9948329946027015,1,0.00516700539729853,0.12435412432533768,0.125
Mason Mount,11,0.9930191823547477,0,-0.9930191823547477,0.09027447112315888,0.0
Mathew Leckie,10,0.9912129470259229,1,0.008787052974077114,0.09912129470259229,0.1
Gareth Frank Bale,10,0.9858818451001139,0,-0.9858818451001139,0.09858818451001139,0.0
Lorenzo Insigne,19,0.9856900158057527,2,1.0143099841942473,0.0518784218845133,0.10526315789473684
Sergio Busquets i Burgos,10,0.9804181873083282,0,-0.9804181873083282,0.09804181873083281,0.0
Jannik Vestergaard,10,0.9699247529121091,0,-0.9699247529121091,0.09699247529121091,0.0
Artem Dovbyk,8,0.9692607678578657,1,0.030739232142134254,0.12115759598223322,0.125
Dušan Vlahović,9,0.9676055726849966,1,0.032394427315003416,0.10751173029833296,0.1111111111111111
Alexander Isak,8,0.962349034480759,0,-0.962349034480759,0.12029362931009488,0.0
Joshua Kimmich,18,0.9539361920803956,0,-0.9539361920803956,0.05299645511557753,0.0
Filip Kostić,5,0.9509308042641976,0,-0.9509308042641976,0.19018616085283951,0.0
Young-Gwon Kim,3,0.9507783115732693,2,1.0492216884267307,0.31692610385775644,0.6666666666666666
João Félix Sequeira,18,0.9490381054693848,1,0.05096189453061517,0.0527243391927436,0.05555555555555555
Steven Zuber,12,0.9412657851184751,1,0.05873421488152486,0.07843881542653959,0.08333333333333333
Mehdi Taremi,8,0.9374194410508991,1,0.06258055894910086,0.11717743013136239,0.125
Enner Remberto Valencia Lastra,8,0.9225364329262642,2,1.0774635670737358,0.11531705411578302,0.25
Pedro González López,6,0.9121800511530455,0,-0.9121800511530455,0.15203000852550758,0.0
Che Adams,9,0.8983075888911535,0,-0.8983075888911535,0.09981195432123928,0.0
Toni Kroos,23,0.8968290628624183,1,0.10317093713758174,0.03899256795053992,0.043478260869565216
Hakim Ziyech,19,0.8902425075601476,1,0.10975749243985244,0.046854868818955134,0.05263157894736842
Joško Gvardiol,7,0.8848782429065062,1,0.11512175709349382,0.12641117755807232,0.14285714285714285
Francisco Román Alarcón Suárez,10,0.881540617671231,1,0.11845938232876896,0.0881540617671231,0.1
Dejan Lovren,11,0.8696594564418949,0,-0.8696594564418949,0.07905995058562681,0.0
Rodrigo Bentancur Colmán,6,0.8642050998266795,0,-0.8642050998266795,0.1440341833044466,0.0
Jordan Brian Henderson,7,0.8616549982660932,2,1.138345001733907,0.12309357118087046,0.2857142857142857
Granit Xhaka,18,0.8602483908443088,1,0.13975160915569118,0.04779157726912827,0.05555555555555555
Giorgi Kochorashvili,5,0.8548894952142657,0,-0.8548894952142657,0.17097789904285315,0.0
Kenan Yildiz,11,0.8536728197439132,0,-0.8536728197439132,0.07760661997671937,0.0
Mario Gavranović,4,0.8492224604506016,1,0.15077753954939843,0.2123056151126504,0.25
Paul Pogba,15,0.8437355470532222,2,1.1562644529467778,0.056249036470214814,0.13333333333333333
David Strelec,7,0.8402825337501422,0,-0.8402825337501422,0.12004036196430602,0.0
Henry Josué Martín Mex,4,0.838806576136561,1,0.16119342386343904,0.20970164403414024,0.25
Rodrigo Hernández Cascante,9,0.8360925814998947,1,0.16390741850010526,0.09289917572221053,0.1111111111111111
Alfreð Finnbogason,6,0.8352774998198748,1,0.16472250018012524,0.13921291663664578,0.16666666666666666
Hee-Chan Hwang,8,0.8337473792997809,1,0.16625262070021907,0.10421842241247262,0.125
Lucas Tolentino Coelho de Lima,4,0.8310183009000306,1,0.1689816990999694,0.20775457522500765,0.25
Carlos Alberto Vela Garrido,9,0.8273472137343464,0,-0.8273472137343464,0.09192746819270516,0.0
Orkun Kökçü,6,0.8246528039515597,0,-0.8246528039515597,0.13744213399192662,0.0
Timo Werner,9,0.814874301526044,0,-0.814874301526044,0.09054158905844933,0.0
Lyndon Dykes,6,0.8094034010520027,0,-0.8094034010520027,0.13490056684200044,0.0
Thomas Delaney,11,0.8000701211200577,1,0.1999298788799423,0.0727336473745507,0.09090909090909091
Joel Pohjanpalo,7,0.7987478231346108,1,0.2012521768653892,0.11410683187637297,0.14285714285714285
Medhi Amine El Mouttaqi Benatia,5,0.789908304872607,0,-0.789908304872607,0.1579816609745214,0.0
Mohamed Salah,5,0.7829803606173503,1,0.21701963938264968,0.15659607212347007,0.2
Barnabás Varga,4,0.780681256578706,1,0.21931874342129398,0.1951703141446765,0.25
Grzegorz Krychowiak,7,0.7801241549506382,1,0.21987584504936175,0.11144630785009117,0.14285714285714285
Gue-Sung Cho,8,0.7799231551408512,2,1.2200768448591488,0.0974903943926064,0.25
