modelo,calibrado,clave,roc_auc,pr_auc,brier,ece,log_loss,mean_pred
Regresión logística,no,logistic_regression,0.786925564473128,0.3525017331381502,0.17541278647034123,0.2874600671203736,0.5337041630519256,0.38253212662757957
Regresión logística,sí,logistic_regression,0.7876870717110581,0.35012320211639814,0.07327520668204159,0.007239561793076232,0.2685641750277626,0.0942800501047737
Logística + B-splines,no,logistic_splines,0.7827528188328747,0.35486541126241905,0.17420016472054048,0.28136518243207737,0.5279158810630366,0.3764372419392833
Logística + B-splines,sí,logistic_splines,0.7825355144994118,0.34762589497912655,0.0735508311307493,0.010214126376350373,0.27018765619228047,0.09455328844714123
Random forest,no,random_forest,0.7722832718998491,0.33424814122043817,0.1478561615679867,0.2439929030658684,0.46286598227028347,0.3390649625730744
Random forest,sí,random_forest,0.7714828257351136,0.32883218732502884,0.07466783914929906,0.009650777007776706,0.27225916456903665,0.09516416840520847
Gradient boosting,no,gradient_boosting,0.7624367477957114,0.3266509696276089,0.07594788922274043,0.01699203810626145,0.27185165266415473,0.09230451383561705
Gradient boosting,sí,gradient_boosting,0.7646528123639886,0.3227582955961712,0.07504659611972965,0.0059639119690014526,0.2676155134081015,0.09357260447945918
HistGradientBoosting,no,hist_gradient_boosting,0.7557367401963402,0.315838236323187,0.07549091952142756,0.014665514170334197,0.27161770404312713,0.08832893246513975
HistGradientBoosting,sí,hist_gradient_boosting,0.7632331116536044,0.3207128667535515,0.0749728610242453,0.005339096370159278,0.26670789961778757,0.0947983431902856
