dimension,subgrupo,n_shots,mean_xg_pred,obs_goal_rate,obs_ci_low,obs_ci_high,brier_score
distancia,0-6 u,178,0.3435741788149662,0.4044943820224719,0.33514753398037367,0.4778765485178006,0.22219005053365654
distancia,6-11 u,1001,0.15684808781730386,0.16283716283716285,0.14126069395739846,0.18699163954471767,0.1262212070719658
distancia,11-16 u,1150,0.11150930043823307,0.11739130434782609,0.10004840100433209,0.13728192232601066,0.09535769191638782
distancia,16-22 u,1231,0.06772569321942892,0.060926076360682375,0.04888087690361085,0.07570319930503,0.05736408668972299
distancia,>22 u,2046,0.03709377078878182,0.030303030303030304,0.023710355806982657,0.038656219249353405,0.029677204920155423
zona,Dentro del área,3421,0.12244976189059896,0.12803273896521486,0.1172517731072715,0.13964816644029768,0.09913355750945202
zona,Fuera del área,2185,0.039707269197885024,0.031578947368421054,0.02502886438008239,0.03977326657356907,0.031010276759600122
jugada,Balón parado,218,0.04397718455598766,0.04128440366972477,0.02186917539580277,0.0765866597586498,0.04039693106065331
jugada,Jugada abierta,5388,0.09207015448996149,0.09242761692650334,0.08498167215658717,0.1004543391683746,0.07388396881743489
parte_cuerpo,Head,1011,0.11053671435689659,0.10385756676557864,0.08652731433987651,0.12418694885154175,0.08698958722675085
parte_cuerpo,Left Foot,1692,0.08849904483180014,0.09397163120567376,0.08097320860720256,0.10880961073158471,0.0748148386373392
parte_cuerpo,Other,38,0.23974196239140202,0.13157894736842105,0.05753782875731436,0.2732717005149887,0.10889674204564302
parte_cuerpo,Right Foot,2865,0.08204461500314703,0.0830715532286213,0.07351500722363155,0.09374469787824652,0.0656970677491114
