team,shots,xg_total,goals,goals_minus_xg,xg_per_shot,conversion
Spain,357,35.26431436206296,38,2.7356856379370385,0.09877959205059653,0.10644257703081232
England,293,29.219727772188065,38,8.780272227811935,0.0997260333521777,0.1296928327645051
Germany,283,28.144561018478868,20,-8.144561018478868,0.09945074564833523,0.0706713780918728
France,331,27.492166600847035,29,1.5078333991529647,0.08305790513851068,0.08761329305135952
Croatia,273,24.13830189390237,28,3.8616981060976308,0.08841868825605263,0.10256410256410256
Belgium,242,23.74932197003735,24,0.2506780299626499,0.09813769409106343,0.09917355371900827
Brazil,197,22.89179974482534,15,-7.891799744825342,0.11620202916154995,0.07614213197969544
Portugal,255,22.113932113852417,22,-0.11393211385241742,0.08672130240726438,0.08627450980392157
Switzerland,217,19.50128707092922,26,6.498712929070781,0.08986768235451253,0.11981566820276497
Netherlands,177,18.9386631244702,26,7.0613368755298005,0.1069980967484192,0.14689265536723164
Denmark,218,18.743441078978936,18,-0.7434410789789361,0.085979087518252,0.08256880733944955
Argentina,153,14.285245886970621,17,2.714754113029379,0.09336762017627857,0.1111111111111111
Italy,171,13.643061633597025,15,1.356938366402975,0.07978398616138611,0.08771929824561403
Poland,138,12.680673762820557,10,-2.6806737628205575,0.09188894031029389,0.07246376811594203
Uruguay,96,9.853451795383501,8,-1.853451795383501,0.10264012286857814,0.08333333333333333
Serbia,93,9.462917262157978,8,-1.462917262157978,0.10175179851782772,0.08602150537634409
Austria,102,9.400624113930107,10,0.5993758860698932,0.0921629815091187,0.09803921568627451
Sweden,96,9.276072074386747,7,-2.2760720743867466,0.09662575077486195,0.07291666666666667
Turkey,113,9.098892633906898,9,-0.09889263390689784,0.08052117375138848,0.07964601769911504
Morocco,101,8.408553526775847,8,-0.40855352677584733,0.08325300521560244,0.07920792079207921
Czech Republic,99,8.15711452720198,8,-0.15711452720197983,0.08239509623436343,0.08080808080808081
Mexico,102,7.30899560493179,4,-3.3089956049317903,0.07165681965619403,0.0392156862745098
Ukraine,90,7.3021563591481975,8,0.6978436408518025,0.0811350706572022,0.08888888888888889
Senegal,78,7.172637619163382,7,-0.17263761916338183,0.09195689255337669,0.08974358974358974
Japan,87,7.131480366799941,10,2.8685196332000586,0.0819710386988499,0.11494252873563218
Tunisia,69,6.988892893077934,5,-1.9888928930779342,0.10128830279823094,0.07246376811594203
Russia,73,6.751431340489336,10,3.2485686595106644,0.09248536082862104,0.136986301369863
South Korea,82,5.9332433147587675,8,2.0667566852412325,0.07235662578974107,0.0975609756097561
Slovakia,74,5.181848044729784,5,-0.1818480447297839,0.07002497357742951,0.06756756756756757
Wales,61,5.097631524203819,3,-2.097631524203819,0.08356772990498064,0.04918032786885246
Scotland,58,4.8473526984854605,2,-2.8473526984854605,0.08357504652561139,0.034482758620689655
Australia,58,4.840025091255921,3,-1.8400250912559208,0.08344870846992967,0.05172413793103448
Iran,54,4.394377775108222,3,-1.3943777751082216,0.0813773662057078,0.05555555555555555
Hungary,50,4.319975700374201,5,0.6800242996257992,0.08639951400748401,0.1
Saudi Arabia,62,4.014391142902947,4,-0.014391142902947074,0.06474824424037011,0.06451612903225806
United States,46,3.7929729185902534,3,-0.7929729185902534,0.08245593301283159,0.06521739130434782
Slovenia,37,3.753545784891334,2,-1.753545784891334,0.10144718337544147,0.05405405405405406
Costa Rica,38,3.26051059763457,3,-0.26051059763456985,0.08580291046406763,0.07894736842105263
Colombia,41,3.0905190458203156,6,2.9094809541796844,0.07537851331269062,0.14634146341463414
Ghana,24,2.960111887433805,5,2.039888112566195,0.12333799530974188,0.20833333333333334
Georgia,28,2.9573591876899927,2,-0.9573591876899927,0.10561997098892831,0.07142857142857142
Ecuador,29,2.863094220035833,3,0.13690577996416708,0.09872738689778734,0.10344827586206896
Canada,34,2.734984933719993,1,-1.7349849337199932,0.08044073334470568,0.029411764705882353
Iceland,34,2.6337658068006613,1,-1.6337658068006613,0.07746370020001946,0.029411764705882353
North Macedonia,32,2.5044408729095875,2,-0.5044408729095875,0.07826377727842461,0.0625
Nigeria,38,2.4817021301508544,2,-0.4817021301508544,0.06530795079344354,0.05263157894736842
Romania,37,2.4355852305554273,3,0.5644147694445727,0.06582662785284939,0.08108108108108109
Cameroon,28,2.409122558296544,4,1.590877441703456,0.08604009136773372,0.14285714285714285
Panama,24,2.280720459830125,1,-1.2807204598301252,0.09503001915958854,0.041666666666666664
Egypt,30,2.240029979621422,1,-1.240029979621422,0.07466766598738074,0.03333333333333333
Albania,32,2.2307335014998766,3,0.7692664985001234,0.06971042192187114,0.09375
Peru,32,2.15518752135299,2,-0.15518752135298985,0.06734961004228093,0.0625
Finland,19,1.571172881163179,1,-0.5711728811631791,0.08269330953490417,0.05263157894736842
Qatar,20,1.5568956639873022,1,-0.5568956639873022,0.07784478319936511,0.05
