player,shots,xg_total,goals,goals_minus_xg,xg_per_shot,conversion
Cody Mathès Gakpo,18,1.358226502052614,6,4.641773497947386,0.0754570278918119,0.3333333333333333
Xherdan Shaqiri,29,2.2906849509738083,6,3.7093150490261917,0.07898913624047615,0.20689655172413793
Kylian Mbappé Lottin,74,7.028197646461448,10,2.9718023535385516,0.09497564387110065,0.13513513513513514
Denis Cheryshev,13,1.047035015991335,4,2.952964984008665,0.08054115507625655,0.3076923076923077
Harry Kane,53,7.180362359060677,10,2.819637640939323,0.13547853507661656,0.18867924528301888
Bukayo Saka,15,1.3198111187254145,4,2.6801888812745855,0.08798740791502763,0.26666666666666666
Patrik Schick,22,2.367637789780477,5,2.632362210219523,0.10761989953547622,0.22727272727272727
Emil Peter Forsberg,28,1.6918583505236016,4,2.3081416494763984,0.060423512518700054,0.14285714285714285
Ivan Perišić,51,3.763829624063503,6,2.236170375936497,0.07380058086399026,0.11764705882352941
Álvaro Borja Morata Martín,39,4.80232118079054,7,2.19767881920946,0.12313644053309077,0.1794871794871795
Ferrán Torres García,16,1.9665093505327467,4,2.0334906494672533,0.12290683440829667,0.25
Salem Mohammed Al Dawsari,13,0.9967397285982157,3,2.003260271401784,0.07667228681524736,0.23076923076923078
Youssef En-Nesyri,12,1.049675841474337,3,1.950324158525663,0.08747298678952808,0.25
Luka Modrić,21,1.0864357050008944,3,1.9135642949991056,0.05173503357147116,0.14285714285714285
Haris Seferović,15,1.118450275177786,3,1.881549724822214,0.07456335167851907,0.2
Roman Yaremchuk,17,1.424732603212085,3,1.575267396787915,0.08380780018894618,0.17647058823529413
Mario Mandžukić,12,1.7793901472228286,3,1.2206098527771714,0.14828251226856906,0.25
Andrej Kramarić,29,2.781726483305092,4,1.2182735166949081,0.09592160287258937,0.13793103448275862
Lionel Andrés Messi Cuccittini,44,2.795156131830974,4,1.2048438681690259,0.06352627572343122,0.09090909090909091
Breel-Donald Embolo,29,3.8144703445547474,5,1.1855296554452526,0.13153346015706024,0.1724137931034483
Paul Pogba,15,0.8437355470532222,2,1.1562644529467778,0.056249036470214814,0.13333333333333333
Wahbi Khazri,17,1.8865776447196636,3,1.1134223552803364,0.11097515557174492,0.17647058823529413
Lorenzo Insigne,19,0.9856900158057527,2,1.0143099841942473,0.0518784218845133,0.10526315789473684
Kevin De Bruyne,35,1.9879464469091679,3,1.0120535530908321,0.05679846991169051,0.08571428571428572
Marcus Rashford,16,2.0010252824444628,3,0.9989747175555372,0.12506408015277892,0.1875
Thomas Meunier,13,1.0362095010241823,2,0.9637904989758177,0.07970842315570634,0.15384615384615385
Nicholas Williams Arthuer,12,1.0478984906860198,2,0.9521015093139802,0.08732487422383499,0.16666666666666666
Joakim Mæhle,13,1.0622084468837105,2,0.9377915531162895,0.08170834206797774,0.15384615384615385
Federico Chiesa,24,1.1195584071663267,2,0.8804415928336733,0.04664826696526361,0.08333333333333333
Jamal Musiala,21,2.1578357500022425,3,0.8421642499977575,0.10275408333344012,0.14285714285714285
Niclas Füllkrug,17,3.159788921330988,4,0.8402110786690118,0.18586993654888165,0.23529411764705882
Denzel Dumfries,12,2.295348016985252,3,0.704651983014748,0.19127900141543766,0.25
Fabián Ruiz Peña,18,1.3805453226469886,2,0.6194546773530114,0.07669696236927714,0.1111111111111111
Heung-Min Son,23,1.4240407211484434,2,0.5759592788515566,0.0619148139629758,0.08695652173913043
Ciro Immobile,18,1.4771329703056695,2,0.5228670296943305,0.08206294279475941,0.1111111111111111
Mikel Oyarzabal Ugarte,15,1.4812062092615914,2,0.5187937907384086,0.09874708061743943,0.13333333333333333
Raheem Sterling,26,3.593855923385256,4,0.40614407661474416,0.13822522782250984,0.15384615384615385
Luis Alberto Suárez Díaz,16,1.602233481584217,2,0.39776651841578303,0.10013959259901356,0.125
